image,label
http://i5.walmartimages.com/dfw/dce07b8c-c4cc/k2-_b72b10c4-c5b3-4eb4-966a-85571a804207.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-5f8b/k2-_3e62dcb0-fd0d-46c0-aeef-abb21424a53e.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-1568/k2-_063dd95b-3019-4384-8a21-974c27fbe6ac.v3.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-2fa2/k2-_6a16ac48-cd11-492f-9adf-b8ad5f9f1bc3.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-9dec/k2-_3017fd7b-9975-4e49-8ac7-014db67d23c6.v2.jpg,1
http://i5.walmartimages.com/dfw/dce07b8c-73cf/k2-_1c92a407-204b-4649-a5f0-6c0b46813dcc.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-1270/k2-_d2e5b84c-6bf0-42eb-8a34-a8258c20c669.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-cf9f/k2-_8371559c-de71-40dc-9fa9-bc14644b8836.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-6048/k2-_2e3a1fee-d7ae-45c2-9158-5a562d0c3e51.v2.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-94b1/k2-_d96d7438-22a2-4acd-b8f8-a7360fdb1aae.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-11ba/k2-_3eec0f28-59d0-4979-8212-33aabd1a971f.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-e866/k2-_c9a57493-b459-48fb-825d-16b5d57b7159.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-c26e/k2-_fc46c217-b9c4-4d3a-8a50-807307966015.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-38e8/k2-_ef9eb56f-04b1-45e1-80f9-b0be6361dc6d.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-6abe/k2-_76911ae8-13d2-4f3e-92c0-4b0406e566b7.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-88f5/k2-_22198101-8510-4fe1-8cd1-3ba28e714a8e.v2.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-7584/k2-_20d61adb-8fba-4b1b-a252-52ae660549c6.v1.jpg,0
http://i5.walmartimages.com/dfw/dce07b8c-749d/k2-_49fd6de7-0075-4242-a8ad-22ffee931fe8.v1.jpg,0
